id,brand,model,sku,price
79,Nissan,Titan,283-90-8005,"€77800,74"
80,Mercedes-Benz,G-Class,535-13-1311,"€57551,50"
81,Ford,Crown Victoria,213-08-5330,"€94038,63"
82,Ford,Expedition,243-65-3041,"€66935,70"
83,Lotus,Esprit Turbo,306-29-6984,"€45723,31"
84,Honda,Passport,626-03-0265,"€36972,51"
85,Saturn,L-Series,191-38-9817,"€65785,09"
86,Mazda,Protege5,524-41-8063,"€62081,34"
87,Mercedes-Benz,W201,851-73-4026,"€61285,47"
88,Acura,TL,149-08-5165,"€82476,26"
89,Dodge,Dakota,617-26-7927,"€81076,67"
90,Ford,Flex,522-35-5197,"€80725,32"
91,Daewoo,Leganza,466-71-5346,"€85105,21"
92,Suzuki,Esteem,543-20-9493,"€18025,08"
93,Ford,E-Series,149-70-9236,"€99666,49"
94,Toyota,Camry Solara,532-64-2483,"€14267,26"
95,GMC,Suburban 1500,250-57-8195,"€79580,90"
96,Volvo,S80,787-97-5858,"€19581,05"
97,Mercury,Sable,265-23-1576,"€37299,36"
98,Lincoln,Navigator,314-77-8219,"€90471,93"
99,Land Rover,Defender 90,826-28-7106,"€59729,83"
100,Dodge,Ram 2500 Club,779-14-1997,"€84266,49"
101,Hyundai,Tucson,186-42-0033,"€71056,84"
102,Honda,Civic,199-89-0356,"€57851,09"
103,Land Rover,Discovery,643-94-2524,"€14578,11"
104,Volvo,S80,645-25-4300,"€15246,87"
105,Ford,Econoline E350,699-98-7934,"€70471,50"
106,Austin,Mini Cooper,459-49-0773,"€15518,37"
107,Volkswagen,GTI,627-59-9372,"€65562,16"
108,Audi,RS 4,709-11-8958,"€32992,54"
109,Mercedes-Benz,300SE,165-70-0044,"€67672,45"
110,Nissan,240SX,669-81-5275,"€34940,66"
111,Audi,A5,218-73-0161,"€92512,52"
112,Porsche,911,702-46-3612,"€88654,80"
113,Chevrolet,3500,161-89-6377,"€20933,81"
114,Dodge,Ram 1500,534-68-8984,"€77253,50"
115,Ford,F250,679-63-4093,"€75425,01"
116,Ferrari,F430,332-98-4512,"€43246,92"
117,Mazda,626,549-09-2830,"€17920,74"
118,GMC,2500,579-27-7027,"€45814,08"
119,GMC,Sierra,590-20-2234,"€77971,44"
120,Mazda,Millenia,673-62-8459,"€29751,90"
121,Toyota,Corolla,144-74-9625,"€33681,42"
122,Honda,Pilot,726-60-9275,"€86828,44"
123,Audi,80,243-97-0713,"€61051,61"
124,Mercedes-Benz,E-Class,795-48-5048,"€51586,05"
125,Acura,Integra,121-39-2291,"€53980,56"
126,Mitsubishi,Diamante,788-27-8296,"€55227,28"
127,Chrysler,PT Cruiser,186-12-5374,"€44239,07"
128,GMC,Yukon XL 2500,434-94-7603,"€91442,89"
129,Jaguar,S-Type,380-95-1862,"€62591,75"
130,Oldsmobile,Cutlass,748-69-2825,"€67419,03"
131,Hummer,H2,801-37-0161,"€68186,50"
132,Infiniti,M,286-56-8720,"€97960,50"
133,MINI,Cooper Clubman,190-22-7882,"€92040,36"
134,Saab,9-5,536-40-3320,"€60766,01"
135,Cadillac,XLR,607-74-3780,"€30179,10"
136,Suzuki,Swift,143-96-7877,"€47769,39"
137,Lotus,Exige,801-19-1237,"€13898,44"
138,Volkswagen,Touareg,211-48-9744,"€37082,66"
139,Audi,A6,349-89-3281,"€19178,77"
140,Ford,Escort,304-22-8990,"€38471,71"
141,Toyota,Previa,110-01-8662,"€90414,52"
142,Chrysler,300,179-13-9763,"€53420,77"
143,Chrysler,300,395-69-9928,"€17331,26"
144,Daewoo,Nubira,463-52-2994,"€76820,57"
145,Nissan,Xterra,136-48-2667,"€78213,78"
146,Nissan,Quest,683-70-4157,"€90696,40"
147,GMC,Safari,202-77-5582,"€33881,01"
148,Pontiac,Grand Prix,211-36-7337,"€43699,63"
149,Kia,Forte,660-08-9875,"€17791,36"
150,Nissan,Altima,359-80-0265,"€62154,76"
151,Suzuki,Aerio,742-72-5240,"€70510,78"
152,Dodge,Ram 2500,563-36-5133,"€30453,41"
153,GMC,Vandura G1500,284-97-9094,"€10774,81"
154,Ram,3500,569-36-7368,"€89849,31"
155,Volkswagen,Corrado,455-85-4359,"€76001,07"
156,Mitsubishi,Excel,595-31-1638,"€98999,59"
157,GMC,Envoy XUV,853-90-8423,"€84092,31"
158,Pontiac,Grand Am,552-67-8170,"€43627,11"
159,Nissan,Sentra,760-64-6837,"€47702,30"
160,Toyota,Avalon,665-11-9371,"€78902,52"
161,Volkswagen,Corrado,382-71-6842,"€74992,47"
162,Audi,5000CS,871-53-8643,"€35072,23"
163,Dodge,Dakota Club,474-56-5443,"€64683,21"
164,Dodge,Avenger,534-22-8477,"€77596,42"
165,BMW,Z4,631-65-2136,"€82089,59"
166,Mazda,MPV,521-86-5963,"€90126,82"
167,Volvo,S40,646-68-9562,"€54773,96"
168,Audi,A6,831-67-6050,"€86685,35"
169,Maserati,430,828-05-7390,"€80761,10"
170,Land Rover,Discovery,247-19-7616,"€81183,93"
171,Jaguar,XJ Series,422-52-1905,"€88544,38"
172,Buick,Regal,630-65-4374,"€48532,69"
173,Chrysler,Crossfire,317-17-8050,"€35147,58"
174,Spyker,C8,353-38-5480,"€59788,12"
175,Honda,Accord,359-25-2582,"€88211,06"
176,Eagle,Summit,258-94-2363,"€38463,99"
177,Chevrolet,Monte Carlo,885-37-1583,"€75903,49"
178,Maybach,62,895-61-0990,"€10522,70"
179,Subaru,Loyale,535-87-9142,"€76115,44"
180,Toyota,Avalon,231-86-6782,"€11483,76"
181,BMW,M3,893-40-3208,"€98017,83"
182,GMC,Sierra 1500,328-09-2014,"€70776,80"
183,Volvo,850,167-27-8771,"€91609,47"
184,GMC,Yukon,460-76-1399,"€27891,41"
185,Ford,Ranger,863-30-4246,"€22299,40"
186,Audi,Cabriolet,893-71-5516,"€31899,08"
187,Chevrolet,3500,283-86-4814,"€62894,57"
188,Buick,Terraza,427-80-9522,"€76215,58"
189,Infiniti,G,468-28-6092,"€42890,21"
190,Audi,S5,784-81-5856,"€17623,31"
191,BMW,745,492-46-4358,"€76981,93"
192,GMC,Envoy,178-71-6028,"€44685,67"
193,Rolls-Royce,Ghost,893-56-1080,"€87483,42"
194,Lexus,SC,785-61-0178,"€59112,10"
195,Oldsmobile,88,112-74-3054,"€63053,46"
196,Porsche,Cayman,675-09-3438,"€16199,32"
197,Ford,Escort,201-04-8198,"€43948,93"
198,Mercedes-Benz,E-Class,675-52-4027,"€94321,24"
199,GMC,Safari,393-70-6712,"€21018,76"
200,Jeep,Patriot,276-72-5924,"€91926,11"
201,Mazda,Familia,414-98-3411,"€87588,38"
202,Suzuki,Swift,794-08-0947,"€98095,29"
203,Dodge,Ram,452-64-9467,"€95051,91"
204,Ford,GT,535-50-7096,"€26352,44"
205,Suzuki,Grand Vitara,683-61-6901,"€58601,60"
206,Ford,Escort,273-01-2596,"€74371,13"
207,GMC,Savana 2500,562-13-8903,"€79995,55"
208,GMC,Yukon XL 1500,522-86-2290,"€60129,01"
209,Mercury,Villager,861-60-8651,"€72662,30"
210,Mercedes-Benz,300CE,282-96-3812,"€22197,50"
211,Subaru,Forester,584-58-7407,"€49198,58"
212,GMC,Yukon XL 1500,558-04-0020,"€15621,93"
213,Volkswagen,Scirocco,324-60-3611,"€32402,53"
214,Pontiac,Sunbird,695-65-0795,"€67413,35"
215,Chevrolet,Corvette,518-84-8367,"€33770,33"
216,Toyota,Supra,136-24-0064,"€96401,22"
217,Mercedes-Benz,S-Class,422-22-3554,"€91902,04"
218,Volkswagen,CC,325-57-6737,"€45417,25"
219,Oldsmobile,Silhouette,636-41-1918,"€44216,87"
220,GMC,Canyon,514-87-2474,"€38981,68"
221,Mercury,Mountaineer,206-87-7024,"€69550,46"
222,Jeep,Grand Cherokee,284-81-3356,"€30880,05"
223,Dodge,Ram 3500 Club,883-85-9104,"€82265,52"
224,Acura,Legend,412-37-4466,"€75737,90"
225,Volkswagen,Passat,488-13-9328,"€80722,16"
226,Mercedes-Benz,E-Class,799-29-3314,"€49617,58"
227,Suzuki,SX4,747-58-0288,"€56617,60"
228,Toyota,Matrix,840-34-1674,"€77675,12"
229,Oldsmobile,Cutlass,887-87-9632,"€46131,10"
230,Aptera,Type-1h,542-03-5657,"€74356,26"
231,Kia,Spectra,122-22-4066,"€65000,99"
232,Mercedes-Benz,R-Class,829-93-1399,"€82084,65"
233,Mercedes-Benz,SL-Class,727-71-6896,"€10033,90"
234,Ford,Falcon,804-83-2154,"€75321,96"
235,Ford,Mustang,321-34-0503,"€76348,72"
236,Lexus,ES,104-28-1852,"€73214,31"
237,Buick,Century,594-75-9217,"€22400,90"
238,Maserati,Quattroporte,190-55-6161,"€54918,31"
239,Ford,Probe,712-89-8655,"€92723,79"
240,Dodge,Viper,201-24-2236,"€30175,52"
241,Maybach,57,240-98-0464,"€15277,40"
242,Toyota,Sienna,196-19-5366,"€46023,39"
243,Ford,Galaxie,825-96-2761,"€67809,25"
244,Porsche,Boxster,253-93-6995,"€91967,69"
245,Mazda,MX-6,113-92-6840,"€11459,92"
246,GMC,Canyon,104-44-8676,"€55687,81"
247,BMW,600,671-49-8919,"€28664,05"
248,Toyota,Tacoma,238-84-0810,"€33097,24"
249,Mitsubishi,Precis,767-29-7514,"€81946,68"
250,Cadillac,CTS-V,602-06-2284,"€92284,92"
251,Kia,Forte,887-45-5887,"€42295,14"
252,Land Rover,Freelander,476-40-7989,"€87496,44"
253,Lincoln,MKX,443-09-6332,"€39915,29"
254,Volvo,C30,278-83-4594,"€86975,51"
255,Aston Martin,V12 Vantage,826-98-4774,"€52259,65"
256,Chevrolet,Silverado 2500,135-17-9882,"€34243,58"
257,Saturn,S-Series,390-58-6468,"€80866,68"
258,Oldsmobile,Cutlass Supreme,893-04-3659,"€73563,16"
259,Kia,Optima,289-92-2061,"€36057,04"
260,Volkswagen,Jetta,481-71-2174,"€50510,93"
261,Dodge,Ram Van 1500,295-20-2101,"€28625,10"
262,Mercury,Sable,623-07-9532,"€20102,91"
263,Toyota,RAV4,706-63-2975,"€80341,45"
264,Audi,A6,814-13-9892,"€91892,23"
265,Subaru,Legacy,314-94-5925,"€80671,31"
266,Chevrolet,2500,854-89-0717,"€28255,63"
267,Subaru,BRZ,776-26-9034,"€83286,44"
268,Volvo,S80,307-70-8365,"€50547,47"
269,GMC,Suburban 2500,306-53-3683,"€82443,20"
270,Nissan,Versa,533-05-2696,"€40376,14"
271,Pontiac,Grand Prix,189-03-2171,"€52897,18"
272,Ford,Taurus,423-33-9887,"€27939,93"
273,Ram,1500,492-59-9651,"€18136,70"
274,Mazda,RX-7,330-03-3052,"€29943,90"
275,Cadillac,CTS,411-63-6685,"€83631,48"
276,GMC,Sierra 1500,402-30-5594,"€44555,09"
277,Aptera,Typ-1,336-70-6299,"€25990,99"
278,Honda,Ridgeline,166-84-0767,"€45152,34"
279,Lexus,ES,566-83-3273,"€35612,44"
280,Ford,Thunderbird,796-18-4664,"€68155,12"
281,Volkswagen,Jetta,181-48-3483,"€92012,78"
282,Ford,Thunderbird,606-99-3781,"€76374,99"
283,Subaru,Legacy,886-90-4557,"€53712,16"
284,Hummer,H2,811-03-9103,"€20085,90"
285,Ford,Contour,118-08-3436,"€73158,29"
286,Suzuki,SX4,331-22-9119,"€59970,81"
287,Audi,A4,854-91-1306,"€34308,59"
288,Cadillac,Catera,146-81-6458,"€34924,49"
289,Lexus,ES,608-50-8496,"€11797,83"
290,Oldsmobile,Cutlass Cruiser,348-27-1275,"€24739,06"
291,Lexus,RX,795-16-1526,"€25988,11"
292,Mazda,Protege,115-40-9847,"€72307,39"
293,GMC,Sierra 3500,203-32-7899,"€83972,22"
294,Toyota,Tacoma Xtra,603-50-0140,"€84160,40"
295,Volkswagen,Fox,177-38-3212,"€89845,51"
296,Mercury,Topaz,165-64-4313,"€91220,32"
297,Cadillac,Fleetwood,259-71-5804,"€67488,74"
298,Ford,E150,591-70-4267,"€29522,64"
299,Mitsubishi,Galant,345-90-2139,"€98588,54"
300,Subaru,Impreza,638-24-0510,"€56490,17"
301,Mercury,Topaz,889-05-3422,"€45225,71"
302,BMW,X5,636-30-4279,"€32088,26"
303,Mercedes-Benz,300E,308-93-2700,"€15201,04"
304,Eagle,Premier,187-78-1241,"€53726,09"
305,Nissan,350Z,765-31-7616,"€53752,88"
306,Cadillac,Catera,703-13-3255,"€47132,61"
307,Porsche,Cayman,850-50-0315,"€96738,70"
308,Mitsubishi,Mighty Max,314-75-4681,"€80413,34"
309,Acura,TL,739-49-3571,"€21447,43"
310,Mercury,Capri,753-23-9098,"€31908,64"
311,Nissan,Maxima,648-28-8577,"€41182,02"
312,Audi,TT,494-04-3063,"€62989,29"
313,Kia,Amanti,480-06-3598,"€82069,11"
314,Toyota,Land Cruiser,617-49-8331,"€50863,57"
315,Volkswagen,Eurovan,556-95-3235,"€98729,55"
316,Dodge,Ram 1500 Club,147-03-6797,"€74861,69"
317,BMW,7 Series,496-34-9961,"€80772,47"
318,Toyota,Highlander,658-01-9758,"€35427,14"
319,Infiniti,Q,453-13-0221,"€74018,90"
320,Dodge,Caravan,594-94-3452,"€76730,36"
321,Ford,Fusion,733-25-9934,"€49210,39"
322,Ford,E-350 Super Duty,471-66-5523,"€11241,03"
323,Ford,Thunderbird,317-97-3346,"€44645,23"
324,Pontiac,Grand Prix,297-13-6830,"€64180,23"
325,Mitsubishi,Chariot,484-95-7908,"€80876,70"
326,Lexus,RX,673-64-8978,"€23326,30"
327,Ford,Econoline E150,625-97-5346,"€90724,54"
328,Pontiac,G3,149-82-0797,"€62035,65"
329,GMC,2500 Club Coupe,755-22-1807,"€33182,89"
330,Jeep,Wrangler,612-93-4184,"€36481,45"
331,Nissan,Frontier,741-15-2440,"€47138,57"
332,Ford,Mustang,476-90-1898,"€52852,19"
333,Ford,Contour,828-89-6643,"€66721,85"
334,Ford,F-Series Super Duty,710-41-1106,"€35372,78"
335,Lotus,Exige,502-29-0174,"€47485,99"
336,Buick,Regal,685-14-9792,"€42767,10"
337,Volkswagen,Jetta,541-06-0621,"€20674,93"
338,Porsche,944,208-40-1921,"€41290,22"
339,Audi,S5,455-72-5802,"€44472,46"
340,Cadillac,STS,829-50-0514,"€40004,48"
341,Chevrolet,Silverado 1500,804-84-5332,"€98602,01"
342,Buick,Coachbuilder,204-47-8383,"€27484,71"
343,Audi,RS4,863-46-7900,"€24572,93"
344,Cadillac,Escalade,152-58-1625,"€42014,64"
345,Cadillac,CTS,451-80-6756,"€47128,65"
346,Buick,Terraza,429-69-7932,"€81030,84"
347,Mercury,Mystique,350-59-0550,"€22568,02"
348,Mazda,B2500,791-54-2235,"€25702,24"
349,Plymouth,Laser,405-50-6826,"€60074,52"
350,Dodge,Ram 2500,424-93-1448,"€66579,83"
351,Mercury,Milan,311-04-5495,"€18871,10"
352,Daewoo,Nubira,596-04-7813,"€25483,39"
353,Oldsmobile,Intrigue,506-27-7074,"€93063,78"
354,Lexus,IS,691-59-0650,"€58357,52"
355,Chevrolet,Corvette,283-06-3448,"€18829,91"
356,Toyota,Sequoia,209-82-8665,"€98929,27"
357,GMC,Safari,411-93-5973,"€30539,28"
358,Jeep,Compass,174-60-0101,"€53468,46"
359,Toyota,TundraMax,799-71-6990,"€60975,69"
360,Honda,Pilot,506-73-5099,"€11983,42"
361,Chevrolet,Tahoe,637-73-2958,"€65227,70"
362,Volkswagen,Golf,481-90-6618,"€50658,29"
363,GMC,Yukon XL 2500,142-45-9559,"€84067,54"
364,Dodge,D250,300-68-3552,"€26680,16"
365,Chevrolet,Express 2500,753-37-8500,"€58687,91"
366,Mitsubishi,Montero,642-33-3151,"€35890,51"
367,Dodge,Neon,514-02-7140,"€16687,97"
368,Dodge,Ram Van 2500,555-59-2284,"€16870,26"
369,Ford,Aerostar,676-22-6139,"€44677,30"
370,Dodge,Viper RT/10,363-85-2351,"€14298,00"
371,Nissan,Quest,280-23-1211,"€40245,84"
372,Lexus,GX,563-55-8010,"€31060,60"
373,Ford,Econoline E350,804-37-7215,"€49298,43"
374,Oldsmobile,Intrigue,662-72-9206,"€75013,55"
375,Cadillac,STS-V,116-03-5592,"€66202,01"
376,Toyota,Celica,547-50-7793,"€78958,86"
377,Chevrolet,Avalanche 2500,193-87-4920,"€20366,61"
378,Pontiac,Sunbird,138-55-5737,"€20350,37"
379,Toyota,Celica,280-35-7810,"€91083,14"
380,GMC,Sierra 2500,833-87-3867,"€84032,45"
381,Chevrolet,Cobalt SS,590-97-9102,"€78024,94"
382,Mercury,Grand Marquis,432-16-6831,"€26386,66"
383,Pontiac,G6,348-66-8790,"€78404,07"
384,Ford,E250,291-06-8712,"€19754,99"
385,Pontiac,Firebird,103-44-7413,"€35089,23"
386,Maybach,62,682-11-2171,"€61320,79"
387,Chevrolet,Silverado,355-28-0217,"€71941,86"
388,Plymouth,Laser,539-13-7144,"€56493,74"
389,Lamborghini,Countach,822-07-0895,"€72142,73"
390,Ford,Econoline E150,294-61-4224,"€46873,78"
391,Ford,Bronco,193-33-8386,"€44588,91"
392,Chevrolet,Tracker,366-64-3384,"€78136,17"
393,Toyota,Xtra,618-71-6168,"€22618,99"
394,Mercedes-Benz,300CE,336-60-6844,"€66090,75"
395,Ford,Mustang,360-87-9116,"€54907,67"
396,Pontiac,Torrent,775-17-7259,"€17264,82"
397,Mitsubishi,Diamante,370-53-0352,"€64646,31"
398,Suzuki,SJ 410,370-20-2728,"€63447,03"
399,Ford,Focus,698-35-9127,"€60336,35"
400,Nissan,Sentra,730-69-9011,"€69394,11"
401,Honda,Odyssey,397-01-6530,"€87974,07"
402,Oldsmobile,Aurora,757-52-6690,"€43329,53"
403,Ford,Crown Victoria,680-70-7375,"€12334,12"
404,Audi,A8,749-26-5970,"€41050,59"
405,Mercury,Cougar,374-12-5243,"€83342,53"
406,Eagle,Summit,574-40-7918,"€93037,32"
407,Dodge,Stratus,161-01-7357,"€53824,64"
408,Lincoln,MKS,149-83-9946,"€60289,19"
409,Volvo,C30,668-83-3983,"€86423,06"
410,Mercedes-Benz,M-Class,502-93-5486,"€34583,78"
411,Mercury,Sable,726-14-3660,"€42786,75"
412,Dodge,Ram 1500,776-87-3292,"€40923,82"
413,Nissan,Maxima,769-23-9300,"€11805,86"
414,Audi,A4,759-67-4542,"€95660,85"
415,Toyota,RAV4,216-42-4211,"€24133,01"
416,Lamborghini,Reventón,821-40-0875,"€33289,37"
417,Mitsubishi,Challenger,364-94-1708,"€50791,77"
418,Dodge,Ram 2500,485-22-3073,"€42404,23"
419,GMC,Sonoma Club Coupe,572-28-8250,"€10145,11"
420,Chrysler,Concorde,419-88-2318,"€83650,69"
421,GMC,Savana,365-68-4153,"€97984,69"
422,Pontiac,Bonneville,633-70-1582,"€38454,19"
423,Kia,Sorento,385-12-9148,"€90737,28"
424,Chevrolet,Suburban 2500,354-51-2495,"€88496,82"
425,Oldsmobile,Silhouette,139-45-2325,"€23402,89"
426,Volkswagen,Jetta,187-38-2863,"€28188,22"
427,Scion,tC,735-88-6542,"€43999,95"
428,Toyota,Highlander,476-89-6602,"€44758,87"
429,Kia,Rondo,560-27-7088,"€43986,96"
430,Mazda,Miata MX-5,719-51-4409,"€93705,65"
431,Toyota,Tercel,473-18-6006,"€88701,65"
432,Mitsubishi,Montero,463-11-9109,"€21976,80"
433,Suzuki,Samurai,709-37-4077,"€64142,56"
434,Audi,Q5,633-62-6489,"€51542,95"
435,Buick,Electra,583-55-0888,"€57804,66"
436,Mazda,MPV,264-98-6004,"€88120,69"
437,Dodge,Dakota Club,362-12-4655,"€18105,37"
438,Lincoln,Mark VIII,557-41-5340,"€85031,31"
439,Pontiac,Grand Prix,369-27-0913,"€44801,61"
440,Jaguar,XJ Series,427-41-9796,"€92992,42"
441,Hyundai,Sonata,536-93-6581,"€44958,13"
442,Mercedes-Benz,R-Class,634-62-5141,"€15973,77"
443,Volkswagen,Eos,837-25-3217,"€90738,99"
444,Lincoln,MKZ,361-54-8732,"€22203,37"
445,Chevrolet,Silverado 1500,664-98-0489,"€18014,70"
446,Lexus,GX,513-96-2470,"€59672,78"
447,Kia,Rondo,224-04-7225,"€94386,66"
448,Jeep,Grand Cherokee,882-59-3263,"€42617,42"
449,Chrysler,Voyager,495-40-0854,"€32866,93"
450,Hyundai,Tucson,438-18-9074,"€21303,59"
451,Lexus,GX,204-54-3903,"€46348,01"
452,Acura,TL,611-98-2925,"€23250,53"
453,Chrysler,LHS,322-46-2171,"€56548,46"
454,Dodge,Ram Van B250,310-77-2793,"€48421,25"
455,Nissan,Maxima,218-64-7974,"€75290,65"
456,Suzuki,XL-7,379-85-1291,"€56314,48"
457,Mercedes-Benz,E-Class,830-65-5557,"€81892,97"
458,Mazda,B2600,770-92-7400,"€10621,40"
459,Isuzu,Oasis,180-57-0354,"€85444,56"
460,Saturn,L-Series,145-39-3721,"€59011,38"
461,Volvo,C70,440-08-8249,"€68252,98"
462,Suzuki,Cultus,464-60-5428,"€84018,48"
463,Ford,E-Series,259-55-1607,"€23040,91"
464,GMC,Yukon XL 2500,756-49-0603,"€10426,79"
465,Aston Martin,DB9,511-67-8383,"€62059,85"
466,Chevrolet,Cobalt,220-62-5167,"€50488,06"
467,Chrysler,Town & Country,342-50-3152,"€10283,81"
468,Cadillac,XLR,171-46-5404,"€72251,38"
469,Audi,90,540-81-5368,"€98254,60"
470,Subaru,Tribeca,518-66-3431,"€89618,46"
471,Dodge,Caravan,587-64-2185,"€68242,41"
472,Chevrolet,Metro,847-98-0188,"€96146,65"
473,Chevrolet,HHR,327-14-4294,"€52407,68"
474,BMW,M,408-30-2276,"€28546,95"
475,Chevrolet,Blazer,480-84-6024,"€51044,71"
476,Land Rover,Discovery,269-52-2833,"€51452,93"
477,Mitsubishi,Lancer,707-52-0139,"€95372,68"
478,Dodge,Durango,232-71-6667,"€38674,62"
479,Volvo,S80,396-89-1889,"€66952,42"
480,Dodge,Stratus,534-95-2346,"€66417,52"
481,Scion,tC,333-27-3071,"€64367,71"
482,Honda,Civic,171-02-4934,"€36869,42"
483,Chevrolet,Suburban 2500,317-07-7432,"€19676,85"
484,Mazda,MX-6,314-59-9705,"€95149,74"
485,Buick,LeSabre,107-75-0831,"€27576,51"
486,Suzuki,Grand Vitara,588-36-7820,"€52379,34"
487,Dodge,Journey,374-89-2215,"€53661,73"
488,Infiniti,G,552-47-5504,"€32639,24"
489,GMC,3500 Club Coupe,391-28-6679,"€46660,97"
490,Porsche,911,179-52-2567,"€48487,95"
491,Mitsubishi,Mirage,487-07-5587,"€85647,38"
492,Dodge,Omni,746-48-6102,"€12648,25"
493,Volkswagen,CC,741-80-8106,"€16242,51"
494,Lincoln,Aviator,523-03-9720,"€66162,37"
495,Chrysler,Town & Country,442-69-7006,"€14583,33"
496,Pontiac,Bonneville,331-07-7844,"€80456,72"
497,Chevrolet,Monza,119-02-6763,"€27630,51"
498,Dodge,Dakota Club,696-35-5831,"€10637,68"
499,Honda,Accord,522-06-1892,"€14175,27"
500,Dodge,Ram Van 1500,248-38-9666,"€65955,67"
501,Dodge,Caravan,677-64-1477,"€96825,27"
502,Mazda,Miata MX-5,867-16-5727,"€83429,25"
503,BMW,M3,487-09-4826,"€80481,71"
504,Maybach,Landaulet,483-08-1670,"€75194,94"
505,Toyota,Camry,173-27-5253,"€71403,72"
506,Jaguar,XJ Series,599-95-9273,"€94408,56"
507,Toyota,Sequoia,723-56-6007,"€87171,77"
508,Pontiac,Montana,263-31-6745,"€67215,18"
